;molecule_chembl_id;IC50;units;smiles;pIC50
0;CHEMBL278041;30;nM;Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1;7.522878745
1;CHEMBL10;34;nM;C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1;7.468521083
2;CHEMBL17331;89;nM;O=[N+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1;7.050609993
3;CHEMBL221291;300;nM;Oc1cc(O)cc(CCc2ccc(O)cc2O)c1;6.522878745
4;CHEMBL4063130;750;nM;CC(C)=CCc1c(O)cc2c(c1O)C(=O)CC(c1ccc(O)c(O)c1CC=C(C)C)O2;6.124938737
5;CHEMBL4445400;800;nM;Oc1cccc(/C=C/c2ccc(O)cc2O)c1;6.096910013
6;CHEMBL516671;1000;nM;C=CC(C)(C)c1cc(C2CC(=O)c3c(O)cc(O)c(CC=C(C)C)c3O2)c(O)cc1O;6
7;CHEMBL3329471;1200;nM;CCCC/C(=N\NC(N)=S)c1ccccc1;5.920818754
8;CHEMBL43065;1700;nM;Oc1cc(O)cc(/C=C/c2ccc(O)cc2O)c1;5.769551079
9;CHEMBL263376;1800;nM;NC(=S)Nc1ccccc1;5.744727495
10;CHEMBL74689;2000;nM;C/C(=N\N=C(/N)S)c1ccccc1;5.698970004
11;CHEMBL465880;3800;nM;CC(C)=CCc1c(O)ccc(C(=O)/C=C/c2ccc(O)cc2O)c1O;5.420216403
12;CHEMBL4239110;4000;nM;C/C(=C\Cc1c(O)ccc(C(=O)/C=C/c2ccc(O)cc2O)c1O)CO;5.397940009
13;CHEMBL4461557;4600;nM;O=C(/C=C/c1ccc(O)cc1)NCCCNC(=O)/C=C/c1ccc(O)cc1;5.337242168
14;CHEMBL4083227;5000;nM;C=CC(C)(C)c1cc(C2CC(=O)c3c(cc(O)c(CC=C(C)C)c3O)O2)c(OC)cc1O;5.301029996
15;CHEMBL4101226;5000;nM;C=CC(C)(C)c1cc(C2CC(=O)c3c(O)cc(O)c(CC=C(C)C)c3O2)c(OC)cc1O;5.301029996
16;CHEMBL394855;5000;nM;O=C(/C=C/c1ccc(O)cc1O)c1ccc(O)cc1O;5.301029996
17;CHEMBL13486;5230;nM;O=c1c(-c2ccc(O)c(O)c2)coc2cc(O)ccc12;5.281498311
18;CHEMBL2016934;9000;nM;CC(C)=C/C=C1\O[C@@H]2CC(C)=CC(=O)[C@@H]2[C@]1(C)O;5.045757491
19;CHEMBL5436239;10030;nM;Cl.NC(Cc1ccc(=O)n(O)c1)C(=O)O;4.998699067
20;CHEMBL243185;10200;nM;NC(=S)N/N=C/c1ccccc1;4.991399828
21;CHEMBL242739;11210;nM;O=c1c(-c2ccc(O)cc2)coc2c(O)c(O)ccc12;4.950394387
22;CHEMBL3898657;19000;nM;[O-][n+]1ccccc1O;4.721246399
23;CHEMBL559089;28000;nM;O=C(/C=C/c1ccc(O)c(O)c1)NCCc1c[nH]c2ccc(O)cc12;4.552841969
24;CHEMBL4462424;30090;nM;COc1cc(O)c(C(=O)/C=C/c2ccccc2)c(O)c1C;4.521577812
25;CHEMBL232202;30260;nM;OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O;4.519131076
26;CHEMBL4450699;40200;nM;O=C(/C=C/c1cccc(O)c1)NCCCNC(=O)/C=C/c1cccc(O)c1;4.395773947
27;CHEMBL552172;42000;nM;O=C(NCCc1c[nH]c2ccc(O)cc12)c1ccc(O)cc1O;4.37675071
28;CHEMBL4544904;46700;nM;COc1ccc(/C=C/C(=O)NCCCNC(=O)/C=C/c2ccc(OC)c(O)c2)cc1O;4.330683119
29;CHEMBL1766160;54700;nM;Oc1cc(O)cc(OCc2cccc(Cl)c2)c1;4.262012674
30;CHEMBL287556;61000;nM;O=c1cc(CO)occ1O;4.214670165
31;CHEMBL5434151;61250;nM;O=c1ccc(CO)cn1O;4.212893907
32;CHEMBL4544938;65200;nM;COc1cc(/C=C/C(=O)NCCCNC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O;4.185752404
33;CHEMBL1766162;66400;nM;Oc1cc(O)cc(OCc2ccc(Cl)c(Cl)c2)c1;4.177831921
34;CHEMBL404923;68000;nM;Oc1ccc2[nH]ccc2c1;4.167491087
35;CHEMBL552171;73000;nM;O=C(NCCc1c[nH]c2ccc(O)cc12)c1ccc(O)c(O)c1;4.13667714
36;CHEMBL1088758;88400;nM;COc1cc(/C=C/C(=O)NCCCCNC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O;4.053547735
37;CHEMBL1766156;90000;nM;Oc1cc(O)cc(OCc2ccc(F)cc2)c1;4.045757491
38;CHEMBL398206;139000;nM;COc1ccc(/C=N/NC(N)=S)cc1;3.8569852
39;CHEMBL561716;211000;nM;COc1cc(C(=O)NCCc2c[nH]c3ccc(O)cc23)ccc1O;3.675717545
40;CHEMBL564482;216000;nM;COc1cc(/C=C/C(=O)NCCc2c[nH]c3ccc(O)cc23)ccc1O;3.665546249
41;CHEMBL554586;233000;nM;O=C(NCCc1c[nH]c2ccc(O)cc12)c1ccc(O)cc1;3.632644079
42;CHEMBL33103;311000;nM;CC(=O)NCCc1c[nH]c2ccc(O)cc12;3.507239611
43;CHEMBL564775;333000;nM;O=C(NCCc1c[nH]c2ccc(O)cc12)c1ccccc1;3.477555766
44;CHEMBL39;550000;nM;NCCc1c[nH]c2ccc(O)cc12;3.259637311
